id;bank_number;name_of_bank;bank;amount;date;status
1ee19ad2-28d2-4045-b488-5b0ee53ba5b4;knight and regularly;custody hm;embarrassment;10300.25;2025-03-27T13:14:54;CANCEL
a4060759-e932-4be7-89e7-e041528b9222;bah;than;glider suffocate;12055.39;2025-03-26T22:22:30;FAILED
cdb31d9e-de25-47db-9a98-d61e4e4472f8;bootleg;pro;after majestically sophisticated;28518.17;2025-03-27T08:19:34;CANCEL
065446bd-6cee-4585-8e4c-70d8c2fa7c80;overcook;however lean briskly;where wilderness often;17858.72;2025-03-26T16:59:32;CANCEL
9365d494-fd6e-4d34-9719-bb2f4e9cdcdd;knight now exactly;while at marksman;beside pish oddly;1727.48;2025-03-27T15:38:01;CANCEL
c64921ff-23a1-47c8-85d6-949e714f23f2;harvest;disappointment inside frankly;below aw;15217.46;2025-03-27T00:35:55;PENDING
3c7626fd-99a3-410e-9488-1d08366d23d0;beyond spattering;yahoo perfectly;rot ew consistency;15348.8;2025-03-27T12:35:54;PENDING
035c315f-5735-4034-988a-27ac471356b3;treasure;nor;meh battle;10631.92;2025-03-27T03:00:19;SUCCESS
bcb0d0d1-d417-4c61-a3ba-8f5b4017c160;dearest;sleepy sympathetically;hammock jovially;21532.85;2025-03-27T02:11:16;CANCEL
e5cb0f8d-c856-4619-acd2-1f5725f826cd;sham;house swordfish yuck;meh inside;31645.07;2025-03-27T15:31:15;PENDING
